_id,Date,Line,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Vehicle
334,2025-12-31,FW,9:32,Wednesday,ALBION STOP,MXWEA,3,9,W,6503
335,2025-12-31,FW,11:35,Wednesday,WESTMORE STOP,MXWEA,9,16,E,6503
336,2025-12-31,FW,12:05,Wednesday,SENTINEL STOP,EXTR,5,15,W,6515
337,2025-12-31,FW,12:17,Wednesday,EMERY STOP,MXWEA,4,10,W,6513
338,2025-12-31,FW,12:38,Wednesday,MILVAN RUMIKE STOP,MXWEA,4,14,W,6513
339,2025-12-31,FW,13:29,Wednesday,SENTINEL STOP,MXD,4,14,W,6511
340,2025-12-31,FW,13:29,Wednesday,JANE FWLRT STOP,MXWEA,4,14,E,6515
341,2025-12-31,FW,13:43,Wednesday,HUMBER COLLEGE STOP,MXUS,4,14,None,6516
342,2025-12-31,FW,15:06,Wednesday,NORFINCH OAKDALE STOP,MXWEA,4,14,E,6504
343,2025-12-31,FW,17:06,Wednesday,HUMBER COLLEGE STOP,EXAC,6,12,W,6503
344,2025-12-31,FW,17:27,Wednesday,SIGNET ARROW STOP,EXSA,6,12,E,6502
345,2025-12-31,FW,17:55,Wednesday,MOUNT OLIVE STOP,TXOVS,0,0,E,6509
346,2025-12-31,FW,18:19,Wednesday,MARTIN GROVE STOP,EXAC,4,14,W,6512
347,2025-12-31,FW,19:09,Wednesday,SIGNET ARROW STOP,MXWEA,4,14,E,6513
348,2025-12-31,FW,19:11,Wednesday,EMERY STOP,MXD,4,14,W,6501
349,2025-12-31,FW,21:02,Wednesday,SENTINEL STOP,EXBK,4,14,E,6504
350,2025-12-31,FW,22:37,Wednesday,NORFINCH OAKDALE STOP,EXBK,0,0,E,6504
